CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;FRE WEB;148606;2025-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148606
00.000.000/0001-91;2025-12-31;2;BCO BRASIL S.A.;001023;FRE WEB;149403;2025-06-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149403
00.000.208/0001-00;2025-12-31;1;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;148956;2025-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148956
00.000.208/0001-00;2025-12-31;2;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;149239;2025-06-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149239
00.000.208/0001-00;2025-12-31;3;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;149334;2025-06-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149334
00.000.208/0001-00;2025-12-31;4;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;149355;2025-06-09;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149355
00.000.208/0001-00;2025-12-31;5;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;149560;2025-06-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149560
00.000.208/0001-00;2025-12-31;6;BRB BANCO DE BRASILIA S.A.;014206;FRE WEB;149564;2025-06-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149564
00.001.180/0001-26;2025-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;148178;2025-05-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148178
00.001.180/0001-26;2025-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;FRE WEB;149095;2025-06-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149095
00.070.698/0001-11;2025-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;149084;2025-06-02;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149084
00.070.698/0001-11;2025-12-31;2;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;FRE WEB;149313;2025-06-05;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149313
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;FRE WEB;148672;2025-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148672
00.194.724/0001-13;2025-12-31;1;AUREN OPERAÇÕES S.A.;026174;FRE WEB;148833;2025-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148833
00.242.184/0001-04;2025-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;148819;2025-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148819
00.242.184/0001-04;2025-12-31;2;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;FRE WEB;149027;2025-05-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=149027
00.336.701/0001-04;2025-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;FRE WEB;148835;2025-05-30;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148835
00.357.038/0001-16;2025-12-31;1;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;027472;FRE WEB;148181;2025-05-22;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=148181
